Country,Total_Cases,Total_Deaths,Total_Recovered,Active_Cases,Tot_Cases,Deaths,Total_Tests,Tests,population ,Median_Age,population_density,world_economy_GDP ,hospital_beds
World,"3,639,616","251,721","1,192,842","2,195,053",467,32.3,,,7797.67,28,"105,961",75928,5742.82
USA,"1,210,356","69,494","186,924","953,938","3,657",210,"7,435,855","22,465",331,38,36,"18,620",31
Spain,"248,301","25,428","151,633","71,240","5,311",544,"1,932,455","41,332",46.7,45,94,"1,240",36.86
Italy,"211,938","29,079","82,879","99,980","3,505",481,"2,191,403","36,244",60.4,47,206,"1,860",47.09
UK,"190,584","28,734",104645,"161,506","2,807",423,"1,291,591","19,026",67.8,40,281,"2,650",40.98
France,"169,462","25,201","51,371","92,890","2,596",386,"1,100,228","16,856",65.2,42,119,"2,470",82.23
Germany,"166,152","6,993","132,700","26,459","1,983",83,"2,547,052","30,400",83.7,46,240,"3,480",91.19
Russia,"145,268","1,356","18,095","125,817",995,9,"4,300,000","29,465",145.9,40,9,"1,250",108.9
Turkey,"127,659","3,461","68,166","56,032","1,514",41,"1,171,138","13,886",84.3,32,110,863.71,26.56
Brazil,"107,844","7,328","45,815","54,701",507,34,"339,552","1,597",212.56,33,25,1880,24
Iran,"98,647","6,277","79,379","12,991","1,174",75,"508,288","6,052",83.99,32,52,425.4,17.4
China,"82,880","4,633","77,766",481,58,3,1140450,826,1439.3,38,153,11220,42
Canada,"60,616","3,842","25,422","31,352","1,606",102,"919,368","24,359",37.74,41,4,1530,34
Belgium,"50,267","7,924","12,378","29,965","4,337",684,"440,700","38,025",11.59,42,383,467.96,77.69
Peru,"47,372","1,344","14,427","31,601","1,437",41,"385,492","11,692",32.79,31,26,192.21,16
India,"46,437","1,566","12,847","32,024",34,1,"1,107,233",802,1380,28,464,3260,6.6
Netherlands,"40,770","5,082",16213,"35,438","2,379",297,"235,909","13,768",17.13,43,508,777.23,47.8
Ecuador,"31,881","1,569","3,433","26,879","1,807",89,"80,171","4,544",17.64,28,71,98.01,16
Switzerland,"29,981","1,784","25,200","2,997","3,464",206,"282,750","32,670",8.65,43,219,668.85,62.87
Saudi Arabia,"28,656",191,"4,476","23,989",823,5,"365,093","10,487",34.81,32,16,639.62,26.5
Portugal,"25,524","1,063","1,712","22,749","2,503",104,"450,000","44,132",10.19,46,111,204.84,37.09
Mexico,"23,471","2,154","13,447","7,870",182,17,"93,791",727,128.93,29,66,1080,17
Sweden,"22,721","2,769","4,074","15,878","2,250",274,"119,500","11,833",10.09,41,25,514.48,35.8
Ireland,"21,772","1,319","13,386","7,067","4,409",267,"169,377","34,302",4.93,38,72,304.82,61.58
Pakistan,"20,941",476,"5,635","14,830",95,2,"212,511",962,220.89,23,287,282.51,12.5
Chile,"20,643",270,"10,415","9,958","1,080",14,"214,131","11,202",19.11,35,26,247.05,22
Singapore,"18,778",18,"1,457","17,303","3,210",3,"143,919","24,600",5.85,42,"8,358",296.95,24
Belarus,"17,489",103,"3,259","14,127","1,851",11,"211,369","22,369",9.45,40,47,47.41,126.1
Israel,"16,246",235,"10,064","5,947","1,877",27,"404,285","46,708",8.65,30,400,317.75,38.05
